Transaction_ID,Customer_ID,Product_ID,Product_Category,Product_Price,Quantity,Total_Amount,Purchase_Date,Payment_Method
0b55b67e-1474-4638-b6be-500b8b422844,3619,115,Electronics,372.07,2,744.14,2023-06-19,Debit Card
08e71282-3a0b-4374-b16b-d82af1c7fda6,1571,755,Clothing,339.97,5,1699.85,2023-03-18,Credit Card
a5add5a9-cc47-46de-a212-a62650032105,3418,433,Electronics,19.75,2,39.5,2024-03-21,Debit Card
dd99f41f-54b1-4059-94a1-8281046f515f,3069,617,Electronics,282.82,5,1414.1,2024-03-08,Online Payment
4a2dd678-96f5-448f-9338-3a0c8dac2155,1902,460,Toys,405.67,1,405.67,2024-05-07,Debit Card
6f818491-69d2-43e9-865e-1b5ca496c619,3859,433,Beauty,142.55,2,285.1,2023-02-14,Cash
519c4c84-1707-42d7-88cd-7010c421dfbf,1418,95,Books,52.87,3,158.61,2023-12-18,Cash
a99373a8-bbff-45f6-9567-fb5904ac0527,4305,45,Sports,270.43,4,1081.72,2024-02-27,Credit Card
a2cc8ace-857f-4505-98f3-673817a2b166,3261,301,Beauty,290.79,1,290.79,2024-04-11,Credit Card
3f849ae7-7d32-490e-aacd-374bff6d177c,3708,234,Toys,492.68,2,985.36,2024-03-26,Credit Card
fb533b5e-d5ff-45b9-b015-f6bbff5204dd,2556,285,Sports,319.66,3,958.98,2024-02-18,Debit Card
653cd091-f45c-45fe-ae24-f7be185c2dbc,2516,364,Home & Kitchen,336.74,1,336.74,2024-01-31,Debit Card
4b18dd41-2853-4ccd-9aac-45ee84936e58,3187,747,Home & Kitchen,85.88,4,343.52,2024-09-25,Cash
ca661549-cf12-48dc-9c34-f6cc859c7e84,4790,656,Home & Kitchen,343.88,1,343.88,2024-05-18,Debit Card
d2548d88-0b54-4b12-92ae-61e41aac1446,4366,33,Beauty,203.58,1,203.58,2023-09-19,Debit Card
8364fe50-2f6e-47b1-a759-0b4469afcd52,4740,966,Beauty,110.25,4,441.0,2024-09-22,Online Payment
ad446c24-7ed0-4d0a-875d-332d715f4f20,4623,937,Sports,75.72,2,151.44,2023-08-03,Debit Card
00c81cf3-4a17-43d8-875b-221dd8ae7e0d,4051,575,Toys,374.77,4,1499.08,2023-02-14,Online Payment
ec8c107f-4b0e-4119-83d0-3ede435b50f2,2482,225,Groceries,257.22,1,257.22,2023-11-18,Credit Card
29daa256-964b-4079-8929-6489852c2b8a,4527,113,Groceries,315.59,4,1262.36,2023-07-01,Credit Card
f62c2373-0b0d-4be3-953e-e93233a871c1,2576,391,Sports,266.91,5,1334.55,2024-06-08,Credit Card
3bdab263-2ba6-4e3d-8d24-b634a59a178c,3786,739,Clothing,342.45,5,1712.25,2023-10-30,Cash
3e2b69b8-622a-4907-8229-61259dd157bd,4148,657,Beauty,60.22,4,240.88,2023-03-18,Debit Card
2f5308c3-1093-43c1-affc-d046f127dcc5,2858,4,Toys,486.08,2,972.16,2023-03-26,Credit Card
